stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
9006105,,Verlängerte Koloniestr. (Berlin),,52.5675450,13.3846480,,,0,
9006153,,St.-Elisabeth-Kirchhof (Berlin),,52.5604980,13.3877590,,,0,
9007102,,S+U Gesundbrunnen Bhf (Berlin),,52.5486370,13.3883720,,,0,
9007103,,U Voltastr. (Berlin),,52.5419300,13.3931570,,,0,
9007104,,S Nordbahnhof (Berlin),,52.5316730,13.3887940,,,0,
9007105,,Wolliner Str. (Berlin),,52.5397700,13.4018000,,,0,
9007106,,Usedomer Str./Feldstr. (Berlin),,52.5392330,13.3871320,,,0,
9007107,,Ruppiner Str. (Berlin),,52.5390850,13.3989780,,,0,
9007108,,S Nordbahnhof/Gartenstr. (Berlin),,52.5333600,13.3874920,,,0,
9007110,,U Bernauer Str. (Berlin),,52.5379940,13.3962310,,,0,
9007111,,Lortzingstr. (Berlin),,52.5443040,13.3991730,,,0,
9007112,,Gartenplatz (Berlin),,52.5384220,13.3842760,,,0,
9007113,,Theodor-Heuss-Weg (Berlin),,52.5349520,13.3858620,,,0,
9007114,,Gartenstr./Feldstr. (Berlin),,52.5365220,13.3838180,,,0,
9007150,,Gedenkstätte Berliner Mauer (Berlin),,52.5356980,13.3904840,,,0,
9007154,,Demminer Str. (Berlin),,52.5426110,13.3994290,,,0,
9007155,,Gleimstr. (Berlin),,52.5460420,13.3980790,,,0,
9007156,,Swinemünder Str. (Berlin),,52.5459540,13.3949210,,,0,
9007157,,Rügener Str. (Berlin),,52.5450140,13.3907930,,,0,
9007159,,Humboldtsteg (Berlin),,52.5473910,13.3819930,,,0,
9007160,,Grüntaler Str. (Berlin),,52.5553580,13.3907960,,,0,
9007181,,Usedomer Str. (Berlin),,52.5399160,13.3894670,,,0,
9008101,,S Humboldthain (Berlin),,52.5447420,13.3787260,,,0,
9008102,,U Reinickendorfer Str. (Berlin),,52.5398950,13.3703930,,,0,
9008103,,Nettelbeckplatz/S Wedding (Berlin),,52.5446700,13.3701880,,,0,
9008104,,U Reinickendorfer Str./Fennstr. (Berlin),,52.5415240,13.3694120,,,0,
9008106,,Brunnenplatz (Berlin),,52.5501420,13.3779960,,,0,
9008151,,Gerichtstr./Hochstr. (Berlin),,52.5432580,13.3757170,,,0,
9008153,,Wiesenstr. (Berlin),,52.5475930,13.3738910,,,0,
9008158,,Schererstr. (Berlin),,52.5482140,13.3691640,,,0,
9009101,,U Amrumer Str. (Berlin),,52.5422020,13.3495340,,,0,
9009102,,U Leopoldplatz (Berlin),,52.5464930,13.3593950,,,0,
9009103,,U Seestr. (Berlin),,52.5504700,13.3519690,,,0,
9009104,,S+U Wedding (Berlin),,52.5427320,13.3660600,,,0,
9009105,,Seestr./Amrumer Str. (Berlin),,52.5462190,13.3440550,,,0,
9009151,,Gerichtstr. (Berlin),,52.5444780,13.3626640,,,0,
9009152,,Rathaus Wedding (Berlin),,52.5478470,13.3565770,,,0,
9009153,,Luxemburger Str. (Berlin),,52.5440530,13.3550600,,,0,
9009154,,Samoastr. (Berlin),,52.5416010,13.3541440,,,0,
9009155,,Kiautschoustr. (Berlin),,52.5410670,13.3576650,,,0,
9009156,,Antwerpener Str. (Berlin),,52.5486830,13.3487010,,,0,
9009201,,U Nauener Platz (Berlin),,52.5515240,13.3673650,,,0,
9009202,,U Osloer Str. (Berlin),,52.5569380,13.3732840,,,0,
9009203,,U Pankstr. (Berlin),,52.5522550,13.3818370,,,0,
9009204,,Osloer Str./Prinzenallee (Berlin),,52.5559360,13.3836630,,,0,
9009206,,Drontheimer Str. (Berlin),,52.5565290,13.3775470,,,0,
9009251,,Maxstr. (Berlin),,52.5494150,13.3639970,,,0,
9009252,,Exerzierstr. (Berlin),,52.5540170,13.3717040,,,0,
9009253,,Uferstr. (Berlin),,52.5532590,13.3781670,,,0,
9009254,,Ritterlandweg/Soldiner Str. (Berlin),,52.5603280,13.3769290,,,0,
9009272,,U Osloer  Str. (Berlin),,52.5580160,13.3724920,,,0,
9010201,,Sylter Str. (Berlin),,52.5423270,13.3369340,,,0,
9010251,,Virchow-Klinikum (Berlin),,52.5434930,13.3387390,,,0,
9011101,,U Rehberge (Berlin),,52.5566700,13.3410130,,,0,
9011102,,U Afrikanische Str. (Berlin),,52.5608620,13.3335020,,,0,
9011103,,Otawistr. (Berlin),,52.5526810,13.3368810,,,0,
9011104,,Glasgower Str. (Berlin),,52.5549150,13.3459720,,,0,
9011105,,Londoner Str. (Berlin),,52.5633620,13.3428980,,,0,
9011151,,Türkenstr. (Berlin),,52.5535060,13.3465930,,,0,
9011152,,Bristolstr. (Berlin),,52.5585620,13.3516140,,,0,
9011153,,Septimerstr. (Berlin),,52.5642540,13.3387080,,,0,
9011154,,Nachtigalplatz (Berlin),,52.5569300,13.3346510,,,0,
9011155,,Transvaalstr. (Berlin),,52.5507710,13.3388870,,,0,
9011201,,Louise-Schroeder-Platz (Berlin),,52.5569820,13.3656030,,,0,
9011206,,Holländerstr./Aroser Allee (Berlin),,52.5620880,13.3537570,,,0,
9011207,,Brienzer Str. (Berlin),,52.5619490,13.3595780,,,0,
9011251,,Iranische Str. (Berlin),,52.5550630,13.3659560,,,0,
9011252,,Osram-Höfe (Berlin),,52.5536960,13.3582910,,,0,
9012101,,S Anhalter Bahnhof (Berlin),,52.5045380,13.3820770,,,0,
9012102,,U Kochstr./Checkpoint Charlie (Berlin),,52.5066730,13.3908630,,,0,
9012103,,U Hallesches Tor (Berlin),,52.4977740,13.3917600,,,0,
9012104,,Lindenstr./Oranienstr. (Berlin),,52.5069620,13.3983690,,,0,
9012105,,Abgeordnetenhaus (Berlin),,52.5065530,13.3796660,,,0,
9012106,,Mehringbrücke (Berlin),,52.4979740,13.3892630,,,0,
9012151,,Willy-Brandt-Haus (Berlin),,52.5004130,13.3874400,,,0,
9012152,,Blücherstr. (Berlin),,52.4957850,13.3966160,,,0,
9012153,,Wilhelmstr./Kochstr. (Berlin),,52.5058900,13.3863610,,,0,
9012154,,Charlottenstr. (Berlin),,52.5068850,13.3935360,,,0,
9012155,,Waldeckpark (Berlin),,52.5061750,13.4018350,,,0,
9012156,,Alexandrinenstr. (Berlin),,52.5051540,13.4053220,,,0,
9012157,,Jüdisches Museum (Berlin),,52.5035430,13.3956390,,,0,
9012158,,Franz-Klühs-Str. (Berlin),,52.5004170,13.3948040,,,0,
9012161,,Wilhelmstr./Franz-Klühs-Str. (Berlin),,52.5014150,13.3886060,,,0,
9013101,,U Moritzplatz (Berlin),,52.5037390,13.4109470,,,0,
9013102,,U Kottbusser Tor (Berlin),,52.4990470,13.4177480,,,0,
9013103,,U Prinzenstr. (Berlin),,52.4982740,13.4065310,,,0,
9013104,,Prinzenstr./Ritterstr. (Berlin),,52.5016470,13.4092750,,,0,
9013151,,Segitzdamm (Berlin),,52.5002390,13.4143400,,,0,
9013152,,Oranienplatz (Berlin),,52.5022440,13.4157300,,,0,
9013172,,U Kottbusser Tor (Berlin) [Bus Adalbertstr.],,52.4998940,13.4183790,,,0,
9013173,,U Kottbusser Tor (Berlin) [Bus Reichenbg. Str.],,52.4994460,13.4167590,,,0,
9013174,,U Kottbusser Tor (Berlin) [Bus Kottbusser Str.],,52.4983040,13.4190050,,,0,
9014101,,U Görlitzer Bahnhof (Berlin),,52.4990350,13.4284680,,,0,
9014102,,U Schlesisches Tor (Berlin),,52.5011470,13.4417910,,,0,
9014103,,Adalbertstr./Oranienstr. (Berlin),,52.5012850,13.4192930,,,0,
9014104,,Manteuffelstr./Köpenicker Str. (Berlin),,52.5056340,13.4320110,,,0,
9014105,,Waldemarstr./Manteuffelstr. (Berlin),,52.5011720,13.4279190,,,0,
9014106,,Lausitzer Platz (Berlin),,52.4994700,13.4319140,,,0,
9014107,,Bethaniendamm (Berlin),,52.5072140,13.4284390,,,0,
9014151,,Waldemarstr./Adalbertstr. (Berlin),,52.5028900,13.4218190,,,0,
9014152,,Mariannenplatz (Berlin),,52.5022030,13.4244180,,,0,
9014153,,Wrangelstr. (Berlin),,52.5034920,13.4300120,,,0,
9014154,,Eisenbahnstr. (Berlin),,52.5044750,13.4349340,,,0,
9014155,,Falckensteinstr. (Berlin),,52.5000520,13.4439490,,,0,
9014156,,Heinrichplatz (Berlin),,52.5002710,13.4229120,,,0,
9015101,,Heckmannufer (Berlin),,52.4970110,13.4492980,,,0,
9015103,,Glogauer Str. (Berlin),,52.4935360,13.4372720,,,0,
9015104,,Ohlauer Str. (Berlin),,52.4955690,13.4304760,,,0,
9015151,,Taborstr. (Berlin),,52.4982140,13.4472610,,,0,
9015152,,Spreewaldplatz (Berlin),,52.4976440,13.4312800,,,0,
9016101,,U Gneisenaustr. (Berlin),,52.4912520,13.3953820,,,0,
9016103,,Zossener Brücke (Berlin),,52.4984270,13.3958450,,,0,
9016151,,Marheinekeplatz (Berlin),,52.4893830,13.3938210,,,0,
9016152,,Jüterboger Str. (Berlin),,52.4862480,13.3944140,,,0,
9016153,,Gneisenaustr./Baerwaldstr. (Berlin),,52.4903860,13.4002140,,,0,
9016154,,Urbanstr./Baerwaldstr. (Berlin),,52.4939100,13.4031820,,,0,
9016157,,Tempelherrenstr. (Berlin),,52.4943350,13.4006340,,,0,
9016201,,U Schönleinstr. (Berlin),,52.4931790,13.4222410,,,0,
9016202,,U Südstern (Berlin),,52.4892190,13.4076850,,,0,
9016203,,Geibelstr. (Berlin),,52.4933640,13.4067870,,,0,
9016204,,Körtestr. (Berlin),,52.4920390,13.4123400,,,0,
9016250,,Hasenheide (Berlin),,52.4875560,13.4189680,,,0,
9016251,,Fichtestr. (Berlin),,52.4883380,13.4129870,,,0,
9016252,,Graefestr. (Berlin),,52.4909690,13.4161480,,,0,
9016254,,Wilmsstr. (Berlin),,52.4951900,13.4043420,,,0,
9016255,,Kottbusser Brücke (Berlin),,52.4955340,13.4206980,,,0,
9017100,,Obentrautstr./U Mehringdamm (Berlin),,52.4958170,13.3893420,,,0,
9017101,,U Mehringdamm (Berlin),,52.4935750,13.3881530,,,0,
9017102,,U Platz der Luftbrücke (Berlin),,52.4849770,13.3863510,,,0,
9017103,,U Gleisdreieck (Berlin),,52.4995870,13.3742930,,,0,
9017104,,U Möckernbrücke (Berlin),,52.4989440,13.3832560,,,0,
9017105,,Yorckstr./Großbeerenstr. (Berlin),,52.4936340,13.3838260,,,0,
9017106,,Platz der Luftbrücke (Berlin),,52.4834410,13.3870380,,,0,
9017107,,Kaiserkorso (Berlin),,52.4840930,13.3842910,,,0,
9017109,,Katzbachstr./Kreuzbergstr. (Berlin),,52.4893100,13.3770640,,,0,
9017151,,Bergmannstr. (Berlin),,52.4900710,13.3865110,,,0,
9017152,,Kreuzberg/Wasserfall (Berlin),,52.4901740,13.3823330,,,0,
9017171,,U Mehringdamm. (Berlin),,52.4927720,13.3883920,,,0,
9017181,,Columbiadamm/Platz der Luftbrücke (Berlin),,52.4843590,13.3900120,,,0,
9018101,,U Jakob-Kaiser-Platz (Berlin),,52.5369850,13.2936610,,,0,
9018102,,U Halemweg (Berlin),,52.5367030,13.2865780,,,0,
9018103,,Weltlingerbrücke (Berlin),,52.5395760,13.2950640,,,0,
9018105,,Hinckeldeybrücke (Berlin),,52.5466210,13.2992220,,,0,
9018106,,Goerdelerdamm (Berlin),,52.5349490,13.2981700,,,0,
9018151,,Habermannzeile (Berlin),,52.5396710,13.2912790,,,0,
9018152,,Hofackerzeile (Berlin),,52.5371050,13.2908650,,,0,
9018153,,Dahrendorfzeile (Berlin),,52.5351480,13.2890380,,,0,
9019102,,Gloedenpfad (Berlin),,52.5394080,13.3021340,,,0,
9019103,,Seestr./Beusselstr. (Berlin),,52.5382500,13.3263460,,,0,
9019105,,Buchholzweg (Berlin),,52.5469730,13.3177930,,,0,
9019152,,Gedenkstätte Plötzensee (Berlin),,52.5421000,13.3243830,,,0,
9019153,,Friedrich-Olbricht-Damm/Saatwinkler Damm (Berlin),,52.5475520,13.3125770,,,0,
9019154,,Stieffring (Berlin),,52.5450790,13.3127240,,,0,
9019155,,Thaters Privatweg (Berlin),,52.5394460,13.3101090,,,0,
9019156,,Kolonie Zukunft (Berlin),,52.5394640,13.3052310,,,0,
9019158,,Berliner Großmarkt (Berlin),,52.5366510,13.3270050,,,0,
9019202,,Reichweindamm (Berlin),,52.5356530,13.3004020,,,0,
9019203,,Friedrich-Olbricht-Damm/Heckerdamm (Berlin),,52.5412160,13.3149670,,,0,
